age_days,sex,meanCT2,meanCT2u750,meanCT2l250,TCV,TCVu750,TCVl250,WMV,WMVu750,WMVl250,sGMV,sGMVu750,sGMVl250,GMV,GMVu750,GMVl250
2106.25,Male,2.8846074920748364e-4,2.93387643327882e-4,2.8341020570147506e-4,101.31884292757412,106.9640344714941,95.78313817450179,39.522759040479016,42.48428732556745,36.68716904436152,5.879246239485294,6.167938311320757,5.5945739872129785,61.74154789850104,65.59296295625434,57.87664584194666
2112.3375,Male,2.8841173593434713e-4,2.933362265946345e-4,2.833636961836329e-4,101.36594191832835,107.01517106603336,95.82630493278184,39.557345421274995,42.52065219128178,36.7200194011707,5.882523558408002,6.171354358985586,5.597714201772773,61.749341483321054,65.60016683477804,57.885034144770636
2118.425,Male,2.883628214753429e-4,2.932849322800988e-4,2.833172606983398e-4,101.41270439765738,107.06595014411874,95.8691557474539,39.59180820673358,42.55688838325344,36.752751213029484,5.885781218348139,6.17475008705155,5.600835413032055,61.75695510456545,65.60718521278775,57.893248023826835
2124.5125,Male,2.883140056062388e-4,2.932337599244441e-4,2.8327089926983526e-4,101.45913304032825,107.11637451131047,95.91169316459644,39.62614804731562,42.59299657498768,36.78536510697527,5.889019359587009,6.178125640078806,5.603937757014763,61.76439069704893,65.61402010977301,57.90128932907169
2130.6,Male,2.882652881014085e-4,2.931827090694704e-4,2.832246119177573e-4,101.50523049432844,107.16644694533782,95.95391970454789,39.660365588477525,42.628977434829075,36.81786170520448,5.892238121100593,6.181481161284187,5.607021368477402,61.771650172499314,65.62067352095237,57.909159888561845
2136.6875,Male,2.882166687338856e-4,2.9313177925861377e-4,2.8317839865724776e-4,101.55099938119412,107.2161701964376,95.99583786222429,39.69446147072301,42.664831626014625,36.8502416251226,5.895437640574732,6.184816792556808,5.610086380923764,61.778735419864276,65.62714741759794,57.91686150874372
2142.775,Male,2.8816814727542286e-4,2.930809700369595e-4,2.831322594990619e-4,101.59644229633292,107.2655469876869,96.03745010743225,39.7284363296537,42.70055980672594,36.88250547939354,5.898618054420051,6.188132674473453,5.613132926619479,61.785648305635355,65.63344374737767,57.924395974758525
2148.8625,Male,2.881197234965418e-4,2.9303028095124486e-4,2.8308619444966676e-4,101.64156180934067,107.31458001533052,96.0787588851752,39.76229079602015,42.73616263014144,36.91465387598887,5.9017794977867455,6.191428946313743,5.616161136606341,61.79239067414859,65.63956443467332,57.93176505072563
2154.95,Male,2.880713971665884e-4,2.9297971154987004e-4,2.8304020351134544e-4,101.68636046431786,107.36327194910785,96.11976661595988,39.796025495770934,42.77164074448694,36.94668741823555,5.904922104579164,6.194705746075145,5.619171140716463,61.79896434789105,65.64551138090448,57.93897048003185
2161.0375,Male,2.8802316805378176e-4,2.929292613829021e-4,2.8299428668229336e-4,101.730840780177,107.41162543256917,96.16047569609374,39.82964105010174,42.80699479308615,36.97860670486366,5.908046007470111,6.197963210487724,5.622163067586226,61.80537112779985,65.65128646484466,57.946013985613114
2167.125,Male,2.879750359252629e-4,2.928789300020801e-4,2.829484439567129e-4,101.77500525094716,107.45964308339082,96.20088849797993,39.8631380755042,42.842225414410585,37.01041233005348,5.911151337915023,6.201201475028656,5.625137044669989,61.811612793556435,65.65689154293229,57.95289727023203
2173.2125,Male,2.8792700054714815e-4,2.9282871696082607e-4,2.829026753249129e-4,101.81885634607615,107.50732749368747,96.24100737040924,39.89651718381294,42.87733324212837,37.042104883481464,5.914238226165964,6.204420673936679,5.628093198253723,61.81769110387524,65.66232844957568,57.95962201674996
2179.3,Male,2.878790616845718e-4,2.9277862181424495e-4,2.828569807733957e-4,101.86239651072474,107.55468123031501,96.28083463884562,39.929778982253325,42.91231890515288,37.073684950366264,5.9173068012853145,6.2076209402261515,5.631031653468297,61.82360779678832,65.66759899745402,57.966189888395654
